,birth year,locPoint
1092,1986.0,POINT (-73.96525063 40.71044554)
775,1985.0,POINT (-73.9557689392 40.680342423)
1906,1965.0,POINT (-73.9557689392 40.680342423)
90,1980.0,POINT (-73.95982218 40.70925562)
162,1990.0,POINT (-73.95982218 40.70925562)
791,1977.0,POINT (-73.95982218 40.70925562)
1133,1970.0,POINT (-73.95982218 40.70925562)
1755,1976.0,POINT (-73.95982218 40.70925562)
488,1960.0,POINT (-73.97711366415024 40.68515959989177)
796,1989.0,POINT (-73.97711366415024 40.68515959989177)
1061,1976.0,POINT (-73.97711366415024 40.68515959989177)
1405,1989.0,POINT (-73.97711366415024 40.68515959989177)
57,1993.0,POINT (-73.94882 40.71764)
639,1979.0,POINT (-73.94882 40.71764)
819,1980.0,POINT (-73.94882 40.71764)
902,1984.0,POINT (-73.94882 40.71764)
1020,1988.0,POINT (-73.94882 40.71764)
556,1978.0,POINT (-73.94714303000001 40.71103537)
821,1973.0,POINT (-73.94714303000001 40.71103537)
174,1974.0,POINT (-73.95202900000001 40.7160751)
422,1981.0,POINT (-73.95202900000001 40.7160751)
826,1961.0,POINT (-73.95202900000001 40.7160751)
1568,1970.0,POINT (-73.95202900000001 40.7160751)
828,1972.0,POINT (-73.92989109999999 40.6794268)
1979,1991.0,POINT (-73.92989109999999 40.6794268)
440,1985.0,POINT (-73.95212324000001 40.72311651)
830,1983.0,POINT (-73.95212324000001 40.72311651)
831,1984.0,POINT (-73.95212324000001 40.72311651)
440,1985.0,POINT (-73.95212324000001 40.72311651)
830,1983.0,POINT (-73.95212324000001 40.72311651)
831,1984.0,POINT (-73.95212324000001 40.72311651)
838,1990.0,POINT (-73.94016171 40.70767788)
858,1972.0,POINT (-73.94016171 40.70767788)
943,1975.0,POINT (-73.94016171 40.70767788)
121,1981.0,POINT (-73.95852515 40.7190095)
297,1968.0,POINT (-73.95852515 40.7190095)
625,1981.0,POINT (-73.95852515 40.7190095)
673,1980.0,POINT (-73.95852515 40.7190095)
844,1980.0,POINT (-73.95852515 40.7190095)
1127,1977.0,POINT (-73.95852515 40.7190095)
628,1984.0,POINT (-73.960876 40.710451)
846,1970.0,POINT (-73.960876 40.710451)
1626,1985.0,POINT (-73.960876 40.710451)
221,1981.0,POINT (-73.94708417 40.69957608)
848,1973.0,POINT (-73.94708417 40.69957608)
363,1982.0,POINT (-73.95041540000001 40.72179134)
853,1985.0,POINT (-73.95041540000001 40.72179134)
1235,1974.0,POINT (-73.95041540000001 40.72179134)
838,1990.0,POINT (-73.94016171 40.70767788)
858,1972.0,POINT (-73.94016171 40.70767788)
943,1975.0,POINT (-73.94016171 40.70767788)
387,1984.0,POINT (-73.96024116 40.71534825)
403,1984.0,POINT (-73.96024116 40.71534825)
418,1985.0,POINT (-73.96024116 40.71534825)
718,1987.0,POINT (-73.96024116 40.71534825)
867,1983.0,POINT (-73.96024116 40.71534825)
878,1977.0,POINT (-73.9482021331787 40.71731840385578)
888,1985.0,POINT (-73.93756926 40.69681963)
1054,1991.0,POINT (-73.93756926 40.69681963)
1128,1976.0,POINT (-73.93756926 40.69681963)
890,1980.0,POINT (-73.95394 40.73025999999999)
989,1991.0,POINT (-73.95394 40.73025999999999)
1508,1985.0,POINT (-73.95394 40.73025999999999)
467,1979.0,POINT (-73.96319799999999 40.716887)
701,1987.0,POINT (-73.96319799999999 40.716887)
733,1985.0,POINT (-73.96319799999999 40.716887)
893,1983.0,POINT (-73.96319799999999 40.716887)
946,1985.0,POINT (-73.96319799999999 40.716887)
1664,1983.0,POINT (-73.96319799999999 40.716887)
1730,1979.0,POINT (-73.96319799999999 40.716887)
897,1992.0,POINT (-73.990539 40.69383)
57,1993.0,POINT (-73.94882 40.71764)
639,1979.0,POINT (-73.94882 40.71764)
819,1980.0,POINT (-73.94882 40.71764)
902,1984.0,POINT (-73.94882 40.71764)
1020,1988.0,POINT (-73.94882 40.71764)
203,1981.0,POINT (-73.96023854000001 40.68900443)
373,1987.0,POINT (-73.96023854000001 40.68900443)
906,1973.0,POINT (-73.96023854000001 40.68900443)
1528,1986.0,POINT (-73.96023854000001 40.68900443)
61,1987.0,POINT (-73.95779 40.72906)
907,1980.0,POINT (-73.95779 40.72906)
1204,1977.0,POINT (-73.95779 40.72906)
301,1985.0,POINT (-73.95600096 40.71774592)
368,1986.0,POINT (-73.95600096 40.71774592)
439,1986.0,POINT (-73.95600096 40.71774592)
616,1983.0,POINT (-73.95600096 40.71774592)
908,1980.0,POINT (-73.95600096 40.71774592)
919,1965.0,POINT (-73.95600096 40.71774592)
301,1985.0,POINT (-73.95600096 40.71774592)
368,1986.0,POINT (-73.95600096 40.71774592)
439,1986.0,POINT (-73.95600096 40.71774592)
616,1983.0,POINT (-73.95600096 40.71774592)
908,1980.0,POINT (-73.95600096 40.71774592)
919,1965.0,POINT (-73.95600096 40.71774592)
922,1987.0,POINT (-73.9448625 40.70870368)
138,1971.0,POINT (-73.96922273 40.68415748)
139,1982.0,POINT (-73.96922273 40.68415748)
388,1988.0,POINT (-73.96922273 40.68415748)
562,1982.0,POINT (-73.96922273 40.68415748)
929,1975.0,POINT (-73.96922273 40.68415748)
937,1978.0,POINT (-73.96590294000001 40.71285887)
948,1980.0,POINT (-73.96590294000001 40.71285887)
939,1981.0,POINT (-73.96563307 40.68650065)
838,1990.0,POINT (-73.94016171 40.70767788)
858,1972.0,POINT (-73.94016171 40.70767788)
943,1975.0,POINT (-73.94016171 40.70767788)
467,1979.0,POINT (-73.96319799999999 40.716887)
701,1987.0,POINT (-73.96319799999999 40.716887)
733,1985.0,POINT (-73.96319799999999 40.716887)
893,1983.0,POINT (-73.96319799999999 40.716887)
946,1985.0,POINT (-73.96319799999999 40.716887)
1664,1983.0,POINT (-73.96319799999999 40.716887)
1730,1979.0,POINT (-73.96319799999999 40.716887)
937,1978.0,POINT (-73.96590294000001 40.71285887)
948,1980.0,POINT (-73.96590294000001 40.71285887)
229,1975.0,POINT (-73.944507 40.715143)
326,1981.0,POINT (-73.944507 40.715143)
557,1966.0,POINT (-73.944507 40.715143)
